Airport,January,February,March,April,May,June,July,August,September,October,November,December,Average
ABQ,309,309,317,295,261,294,191,166,295,386,301,336,288
ACY,178,240,246,200,238,166,82,129,228,280,433,539,247
ANC,582,468,531,475,526,515,492,344,467,422,509,603,495
ATL,145,147,151,133,133,136,91,88,135,153,177,197,141
AUS,203,268,194,197,199,119,106,96,206,215,228,233,189
BDL,337,318,318,316,333,349,316,324,342,369,369,397,341
BGR,384,423,380,386,352,331,337,249,374,433,450,480,382
BHM,377,297,304,287,226,242,166,231,332,307,304,344,285
BIL,309,326,369,309,309,378,327,296,411,343,433,433,354
BNA,291,286,291,291,288,291,176,222,333,318,291,281,280
BNA,291,286,291,291,288,291,176,222,333,318,291,281,280
BOI,288,292,326,288,363,327,302,288,286,325,513,468,339
BOS,218,249,225,205,157,145,82,100,222,257,258,285,200
BTV,369,313,328,356,379,417,338,288,401,448,486,455,382
BUF,377,384,442,351,339,350,326,276,298,340,351,608,370
BUR,287,289,298,289,295,239,226,248,272,267,356,368,286
BWI,163,161,203,148,143,184,77,77,177,205,216,218,164
CAE,343,319,322,319,269,269,278,273,360,355,442,375,327
CHS,289,296,353,329,317,289,211,225,303,336,356,315,302
CID,286,269,319,269,269,328,287,263,416,416,347,417,324
CLE,213,260,326,197,151,160,94,70,163,188,294,359,206
CLT,265,255,253,240,256,221,257,195,264,284,306,301,258
CMH,256,289,289,223,281,273,206,196,269,263,296,309,263
CPR,388,548,559,511,385,388,327,315,486,389,526,484,442
CRW,239,251,191,175,203,352,237,261,388,378,426,385,291
CVG,272,199,219,199,199,216,166,76,257,284,266,309,222
CWA,858,255,296,199,343,112,270,205,449,372,364,342,339
DCA,267,280,333,282,297,293,226,215,296,293,293,311,282
DEN,129,133,160,97,148,158,126,74,121,124,142,187,133
DTW,155,125,136,124,118,168,102,98,192,198,214,225,155
EWR,247,252,279,212,215,218,201,192,291,293,307,315,252
FLL,141,153,193,133,153,143,74,70,153,154,198,233,150
FSD,344,319,353,269,175,286,328,273,399,360,353,409,322
HNL,563,589,653,566,624,641,576,547,598,612,683,790,620
HOU,281,258,229,219,177,243,238,128,236,223,229,243,225
IAD,238,267,340,293,293,232,216,226,270,282,293,293,270
IAH,247,239,229,229,168,136,116,116,238,219,229,234,200
IND,323,308,347,302,323,323,206,206,307,356,313,313,302
ITO,811,591,664,534,827,855,812,388,662,717,769,1258,741
JAN,339,369,339,269,218,363,254,246,339,345,280,315,306
JAX,292,301,306,289,271,299,227,248,261,261,313,313,282
JFK,267,238,297,233,236,287,209,196,279,292,292,324,263
KOA,549,566,674,490,618,711,595,506,651,666,791,696,626
LAS,158,159,165,129,155,123,90,80,153,174,186,208,148
LAX,166,158,193,117,133,157,117,110,157,167,197,236,159
LGA,203,192,221,172,178,199,151,98,203,209,258,291,198
LIH,620,584,646,598,590,589,529,467,587,597,639,699,595
LIT,359,391,265,196,236,307,256,176,275,275,316,290,279
MCI,302,259,278,211,173,211,184,211,235,259,234,268,235
MCI,302,259,278,211,173,211,184,211,235,259,234,268,235
MCO,163,151,237,135,163,163,106,72,149,188,215,243,165
MDW,174,137,244,272,190,205,244,133,214,297,174,203,207
MHT,334,272,325,446,272,336,327,264,332,388,375,423,341
MIA,253,260,328,203,239,167,102,98,261,271,318,318,235
MKE,284,244,284,244,261,251,266,196,272,271,275,282,261
MOT,388,333,556,476,387,383,382,307,478,348,401,552,416
MSP,184,194,204,164,149,198,196,146,117,120,162,225,172
MSP,184,194,204,164,149,198,196,146,117,120,162,225,172
MSY,278,308,253,212,113,178,98,116,172,199,241,269,203
OAK,251,205,234,202,195,236,150,90,210,206,294,311,215
OGG,568,585,699,513,594,662,563,548,687,636,723,696,623
OGG,564,582,696,508,598,663,563,549,684,608,726,693,620
OKC,204,200,173,173,169,307,204,152,178,176,205,182,194
OMA,222,368,237,227,260,271,215,176,285,256,275,311,259
ONT,307,298,333,293,267,298,273,216,296,301,331,374,299
ORD,123,115,136,112,97,132,102,68,130,139,147,188,124
PBI,407,358,367,309,309,308,318,275,343,375,375,407,346
PDX,217,217,280,234,257,271,236,236,267,257,284,336,258
PHL,130,106,162,154,163,157,77,70,163,166,191,225,147
PHX,145,143,178,113,124,189,145,174,153,177,199,187,161
PIT,277,285,314,289,246,250,235,226,285,304,319,358,282
RAP,387,368,293,329,269,334,328,284,446,409,439,368,355
RDU,310,270,307,257,303,296,242,236,261,278,313,316,282
RIC,340,316,309,296,309,316,251,231,377,404,407,390,329
ROA,551,426,438,296,430,307,212,187,499,416,451,453,389
RSW,278,361,345,345,345,252,308,222,362,390,371,416,333
SAN,237,217,256,206,193,196,146,124,227,227,279,297,217
SAT,301,286,246,208,239,128,239,238,233,264,239,229,238
SEA,219,217,272,219,251,251,232,196,182,177,218,292,227
SFO,254,232,262,217,227,232,211,207,207,217,242,274,232
SJC,293,274,306,274,261,287,236,226,214,243,320,337,273
SJU,255,264,271,215,283,300,205,153,308,304,344,548,288
SJU,254,263,269,214,283,289,203,152,308,304,342,545,286
SLC,250,277,315,217,212,233,217,196,341,238,265,334,258
SMF,274,203,211,227,263,280,154,196,287,270,314,344,252
SNA,352,357,425,378,389,265,236,224,358,386,415,396,348
STL,275,275,312,257,275,275,226,176,265,293,276,275,265
TPA,168,163,216,145,173,184,146,91,175,181,228,255,177
