Airport,January,February,March,April,May,June,July,August,September,October,November,December,Average
AKL,1390,1187,1240,1071,1112,1223,1366,1175,1239,1266,1310,1745,1277
AMS,620,643,616,839,988,1360,1262,1056,652,715,679,827,855
ARN,953,708,865,819,1176,1215,1010,1010,905,651,714,1034,922
ARN,953,708,865,819,1176,1217,1010,1010,905,651,714,1034,922
ATH,760,748,869,1091,1217,1445,1345,1099,1170,846,900,1247,1061
BCN,576,602,698,618,745,1090,1054,825,572,585,560,641,714
BDA,652,722,671,654,622,604,627,440,653,586,629,722,632
BGI,751,718,870,842,880,762,786,849,741,713,826,771,792
BKK,895,827,779,797,846,1021,984,792,830,805,932,1281,899
BOB,1920,1705,1894,1802,1743,2038,2157,1992,2010,2192,1715,1873,1920
BOG,521,389,444,305,363,396,622,372,588,504,578,809,491
BOM,1063,1021,1019,981,1115,1247,1250,1058,975,1032,1193,1502,1121
BRU,660,1258,709,754,829,982,1038,1155,618,792,721,955,873
BSB,1179,1474,1604,1500,1220,1232,838,1000,1066,1447,1238,1511,1276
BUD,751,728,879,892,1014,994,981,1023,811,790,709,981,879
BZE,389,453,533,456,456,456,456,471,496,494,440,570,473
CAI,1021,952,1003,933,981,1207,954,936,1040,1141,1236,1446,1071
CDG,601,599,660,782,917,1084,997,1017,716,669,684,988,810
CGK,895,964,919,957,1026,1050,1049,781,857,853,869,1415,970
CHC,1969,1222,1270,1629,1457,1304,719,1026,1301,1092,1266,2436,1391
CPH,756,711,755,1061,930,1162,1220,960,821,811,817,993,916
CPT,1195,1379,1390,1151,1206,1660,1332,1109,1288,1291,1203,1869,1339
CUN,274,294,319,265,281,255,179,178,287,318,371,415,286
CUZ,1070,969,678,940,949,913,876,673,985,462,777,1446,895
CZM,613,421,635,593,335,361,272,323,495,546,646,798,503
DEL,1053,1061,1045,985,1126,1242,1237,1146,964,1012,1174,1582,1136
DME,542,542,1495,1028,1028,1296,1609,989,1077,852,1345,1009,1068
DPS,1113,935,996,905,1051,1240,1320,1233,973,953,1023,1476,1102
DUB,564,637,786,898,951,1115,1138,1034,769,708,736,825,847
DXB,1077,888,959,849,915,1151,1160,1061,899,848,1135,1592,1045
EDI,928,855,913,945,1029,1273,1370,1067,1091,954,799,1094,1027
EZE,911,1321,1038,1257,984,1235,1161,1155,1239,1236,1274,1528,1195
FCO,608,649,691,790,1131,1660,1208,881,788,728,725,1255,926
FLR,941,736,960,1060,1254,1681,1476,961,1376,821,1080,1449,1150
FRA,786,636,626,1093,1301,1368,1287,1167,865,806,803,1061,983
GCM,554,661,731,541,553,578,535,552,507,526,618,649,584
GIG,1817,938,932,591,472,1287,500,565,855,770,931,2065,977
GRU,1110,746,780,709,794,797,793,801,983,848,857,1216,870
GUA,348,280,322,372,266,307,336,262,325,379,482,629,359
HAV,399,403,419,412,377,417,417,371,397,389,420,515,411
HEL,571,584,645,624,1030,1212,1353,998,722,682,639,1219,857
HKG,1044,1005,1009,864,888,1426,950,918,858,854,1039,1237,1008
HKT,1222,915,1053,794,1193,1158,1446,992,936,1059,1021,1589,1115
ICN,1249,1068,1228,1296,1210,1495,1531,1281,1234,1188,1219,1620,1302
ITM,1705,1366,1392,647,1322,1361,1300,1130,1109,879,760,2574,1295
JMK,1728,972,1175,1139,1264,1516,1386,1311,1032,813,996,1619,1246
KEF,707,641,880,624,742,774,762,842,669,698,853,828,752
LGW,609,587,822,775,740,1296,1214,1081,673,598,607,905,826
LIM,459,533,504,412,445,449,478,471,563,558,605,865,529
LIS,637,701,690,1202,1071,1230,997,910,892,797,707,1343,931
MAD,610,586,654,742,974,1123,1150,972,637,622,670,984,810
MAN,754,791,762,977,951,1112,1309,991,949,826,828,1060,943
MBJ,499,455,487,509,509,495,473,414,496,528,515,566,496
MEL,1452,1170,1105,1138,1018,997,1170,1096,1124,1112,929,1524,1153
MEX,288,263,275,267,264,278,284,304,279,295,339,491,302
MNL,956,903,900,904,1003,1113,1072,905,874,864,904,1420,985
MVD,1477,1156,1151,1462,969,1183,1230,1799,1384,1211,1352,1555,1327
MXP,593,620,645,695,848,1027,964,694,1329,740,646,924,810
MZT,539,493,440,399,363,458,369,352,361,373,564,506,435
NAP,891,725,877,1073,1511,1389,2028,1205,1117,1166,1263,1015,1188
NAS,601,608,645,583,584,597,554,401,512,569,644,666,580
NRT,1025,914,993,968,1239,1203,1032,1300,905,774,870,1251,1040
OAX,362,273,292,254,277,291,423,454,337,397,376,469,350
OPO,985,846,928,1052,1193,955,936,1055,1159,681,656,751,933
OSL,650,740,818,544,998,1232,1271,1115,896,777,682,923,887
PAP,511,333,589,533,968,512,408,468,596,454,435,614,535
PEK,904,610,632,588,1061,1110,1247,1180,614,681,650,1095,864
PER,1506,1334,1077,1133,1407,1290,1921,1258,1383,1320,1414,2292,1445
PIE,193,193,355,210,251,218,203,174,288,351,233,142,234
POS,689,788,489,563,489,574,504,479,653,646,569,729,598
PRG,716,693,850,861,1080,1202,1014,1015,846,722,697,790,874
PTY,556,511,529,529,512,549,493,530,418,442,530,741,528
PUJ,532,498,530,490,504,510,442,404,493,516,623,772,526
PUQ,1990,1850,1875,1750,1750,1750,1900,1721,,,,2277,1874
PVG,945,373,487,730,982,1358,1667,1345,595,803,565,1174,919
PVR,357,313,401,356,313,322,335,362,361,387,419,730,388
RTB,736,894,916,896,760,853,893,912,639,749,948,792,832
SCL,1008,1008,965,607,1008,1010,1105,886,964,1034,1009,1442,1004
SDQ,329,380,414,360,597,597,341,328,337,329,359,710,423
SIN,884,858,820,813,856,876,864,926,833,835,842,1180,882
SJD,546,475,606,457,357,357,326,274,559,550,527,686,477
SJO,414,330,446,366,339,417,354,325,348,361,487,651,403
SJU,255,264,271,215,283,300,205,153,308,304,344,548,288
STX,308,346,198,150,196,324,407,178,310,375,347,855,333
SXF,642,699,638,883,1197,1440,1194,873,951,930,991,1163,967
SYD,1301,1043,1007,1100,803,1012,1267,1038,833,1296,1000,1812,1126
TGZ,394,309,282,306,359,314,321,272,322,462,355,583,357
TLV,964,954,1016,1033,1056,1160,1077,978,1120,1178,1040,1278,1071
TNR,1104,1200,1316,1729,1033,2673,1452,1151,1156,897,1133,2089,1411
TPE,1066,980,969,966,907,1195,1274,1029,858,889,831,1378,1029
UIO,528,499,547,500,485,455,564,597,657,747,579,809,581
VCE,663,676,747,938,1071,1105,1113,1299,885,703,723,862,899
VIE,725,650,857,810,1042,1174,875,970,922,776,830,987,885
YQB,443,490,469,363,430,452,515,281,439,440,429,610,447
YUL,500,417,574,479,372,244,254,235,454,399,247,493,389
YYC,207,302,302,188,212,285,302,333,312,224,321,334,277
ZRH,638,644,675,990,1097,1158,1213,849,836,845,851,1131,911
,,,,,,,,,,,,,
,,,,,,,,,,,,,
**ADD FIJI LATER,,,,,,,,,,,,,
